name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Lactobacillus delbrueckii subsp. bulgaricus	1585	subspecies	8458319	63	24	0.0
Lactobacillus helveticus	1587	species	19166205	499	103	1.49816e-09
Lactobacillus pentosus	1589	species	7763201	59	1	4.38101e-184
Lactobacillus plantarum	1590	species	136340595	2346	106	5.38091e-09
Lactobacillus paracasei	1597	species	22328372	1698	32	0
Lactobacillus reuteri	1598	species	8036782	298	19	2.62999e-57
Lactobacillus sakei	1599	species	19379887	266	0	0
Lactobacillus acetotolerans	1600	species	1719725	2	1	0.0
Lactobacillus agilis	1601	species	2304357	19	6	0.0
Lactobacillus fermentum	1613	species	22244413	1051421	458425	5.46146e-05
Lactobacillus ruminis	1623	species	92655	1	0	0.0
Lactobacillus salivarius	1624	species	13378289	194	34	0
Lactobacillus sanfranciscensis	1625	species	671017	225	0	0
Fructobacillus fructosus	1631	species	106526	3	0	4.87765e-08
Lactobacillus oris	1632	species	3286143	149849	3086	0
Listeria	1637	genus	0	140	2	0.0
Listeria ivanovii	1638	species	154558	6136	43	0
Listeria monocytogenes	1639	species	254187973	1153262	1052585	7.18848e-06
Listeria seeligeri	1640	species	343555	678	2	1.99878e-08
Listeria grayi	1641	species	136838	28	2	2.30431e-219
Listeria innocua	1642	species	382738	76362	17	0
Listeria welshimeri	1643	species	2953737	5865	0	1.20704e-09
Erysipelothrix rhusiopathiae	1648	species	4110541	2	0	0.0
Kurthia	1649	genus	0	1	0	0.0
Corynebacteriaceae	1653	family	0	4	0	0.0
Actinomyces naeslundii	1655	species	3301709	5	1	0.0
Arthrobacter	1663	genus	0	2	0	0.0
Brevibacterium linens	1703	species	8168719	1	1	0.0
Cellulosimicrobium cellulans	1710	species	5005741	1	0	0.0
Corynebacterium glutamicum	1718	species	50610563	9	1	0.0
Corynebacterium pseudotuberculosis	1719	species	127389703	149	0	0
Eubacterium	1730	genus	0	2	0	0.0
Eubacterium limosum	1736	species	8615656	1	1	0.0
Cutibacterium acnes	1747	species	20598407	95	74	7.46557e-09
Acidipropionibacterium acidipropionici	1748	species	14667836	1	1	0.0
Actinobacteria	1760	class	0	12	0	0.0
Mycobacteriaceae	1762	family	0	3	0	0.0
Mycobacterium	1763	genus	1450	13	10	0.0
Mycobacterium avium	1764	species	5462062	10	9	0.0
Mycobacterium kansasii	1768	species	38796691	37	0	0.0
Mycobacterium leprae	1769	species	6455563	1	1	0.0
Mycobacterium phlei	1771	species	5396709	9	4	0.0
Mycobacterium smegmatis	1772	species	21316246	9	0	0.0
Mycobacterium chelonae	1774	species	5192467	5	0	0.0
Mycobacterium simiae	1784	species	5992722	13	0	0.0
Mycobacterium terrae	1788	species	4569416	6	6	0.0
Mycobacterium aurum	1791	species	12109394	45	35	0.0
Rhodococcus	1827	genus	0	78	0	0.0
Rhodococcus rhodochrous	1829	species	5637936	2	1	0.0
Rhodococcus ruber	1830	species	11765282	25	11	0.0
Rhodococcus erythropolis	1833	species	8291828	10	1	3.767e-10
Actinoplanes missouriensis	1866	species	21054	5	0	0.0
Streptomyces	1883	genus	0	5	0	0.0
Streptomyces albus	1888	species	24294095	6	0	0.0
Streptomyces ambofaciens	1889	species	8817175	5	0	0.0
Streptomyces clavuligerus	1901	species	7801471	8	8	0.0
Streptomyces glaucescens	1907	species	7769119	5	5	0.0
Streptomyces hygroscopicus	1912	species	12745437	9	0	0.0
Streptomyces lincolnensis	1915	species	10445159	3	0	0.0
Streptomyces reticuli	1926	species	9359547	10	0	0.0
Streptomyces sp.	1931	species	8889503	2	2	0.0
Streptoalloteichus tenebrarius	1933	species	119644	1	1	0.0
Streptomyces albireticuli	1940	species	8164379	27	13	0.0
Streptomyces peucetius	1950	species	69186	1	0	0.0
Streptomyces chartreusis	1969	species	97115	8	0	0.0
Curtobacterium	2034	genus	4644	1	0	4.65383e-248
Pimelobacter simplex	2045	species	5695747	4	4	0.0
Gordonia terrae	2055	species	5865953	46	24	0.0
Sphaerobacter thermophilus	2057	species	6930	1	0	0.0
Streptomycetaceae	2062	family	8904	9	0	0.0
Pseudonocardiaceae	2070	family	1497	6	0	0.0
Mycoplasmatales	2085	order	0	1	0	0.0
Mycoplasmataceae	2092	family	0	1	0	0.0
Mycoplasma capricolum	2095	species	38891	4	0	0.0
Mycoplasma hyopneumoniae	2099	species	1198123	3	3	0.0
Mycoplasma synoviae	2109	species	1839329	2	0	0.0
Mesoplasma florum	2151	species	1634535	2	0	0.0
Methanococcus vannielii	2187	species	63039	1	0	0.0
Methanococcus voltae	2188	species	27417	1	0	0.0
Halobacteriales	2235	order	0	9	0	0.0
Methanosphaera stadtmanae	2317	species	878	1	0	0.0
Thermotoga	2335	genus	0	1	0	0.0
primary endosymbiont of Sitophilus zeamais	2341	species	64084	25	1	2.13438e-07
Candidatus Sodalis pierantonius str. SOPE	2342	leaf	4679533	64	0	0.0
Xylella fastidiosa	2371	species	17444984	58	0	0.0
Sequencing vector pAA3.7X	2517	species	9583	192	0	0
Plasmid pEX102	2554	species	915	227	0	0
Plasmid pI258	2564	species	7381	50	0	0
Plasmid pNS1981	2612	species	291	17	0	0.000223857
Plasmid pSA209	2620	species	600	11	0	0
Plasmid pUB110	2655	species	6857	1	0	0.0
Gardnerella vaginalis	2702	species	3548589	1	0	0.0
Citrus sinensis	2711	species	73816632	6	0	0.0
Vagococcus	2737	genus	0	2	0	0.0
Marinobacter	2742	genus	0	1	0	0.0
Marinobacter hydrocarbonoclasticus	2743	species	489468	29	0	1.16161e-08
Halomonas	2745	genus	0	6	0	0.0
Halomonas elongata	2746	species	149341	1	0	0
Carnobacterium	2747	genus	0	52	0	0.0
Carnobacterium maltaromaticum	2751	species	532183	23	0	0
Brochothrix thermosphacta	2756	species	5298008	3	0	0.0
Eukaryota	2759	superkingdom	0	9	0	0.0
Porphyra umbilicalis	2786	species	540311	1	0	0.0
Porphyra purpurea	2787	species	364272	1	1	0.0
Porphyridiales	2798	order	0	1	0	0.0
Florideophyceae	2806	class	0	1	0	0.0
Bacillariophyta	2836	phylum	0	1	0	0.0
Dinophyceae	2864	class	0	31	0	0.0
Chlorophyta	3041	phylum	0	4	0	0.0
Dunaliella salina	3046	species	1253075	128	0	0
Chlamydomonas reinhardtii	3055	species	31116441	89	0	0
Volvox carteri f. nagariensis	3068	forma	31455814	7	2	0.0
Chlorokybaceae	3142	family	0	1	0	0.0
Chlorokybus atmophyticus	3144	species	410076	1	0	0.0
Picochlorum eukaryotum sensu Mainz 1	3188	species	12291	1	0	0.0
Dicranaceae	3220	family	0	1	0	0.0
Picea abies	3329	species	3491256	3	0	0.0
Picea glauca	3330	species	27328670	3	2	0.0
Pinus taeda	3352	species	31286966	15	9	0.0
Fagales	3502	order	0	1	0	0.0
Casuarina equisetifolia	3523	species	44584	79	0	0
Beta vulgaris subsp. vulgaris	3555	subspecies	72323592	3	0	0
Spinacia oleracea	3562	species	71471412	7	6	0.0
Gossypium hirsutum	3635	species	393618677	120	16	0
Theobroma cacao	3641	species	384373267	36	20	0.0
Malpighiales	3646	order	0	2	0	0.0
Carica papaya	3649	species	77723030	24	4	0.0
Cucumis	3655	genus	0	1	0	0.0
Cucumis melo	3656	species	798165105	145	27	0.0
Cucumis sativus	3659	species	55318643	7	6	0.0
Cucurbita maxima	3661	species	89824804	7	6	0.0
Cucurbita moschata	3662	species	92484825	2	0	0.0
Populus trichocarpa	3694	species	156271188	12	6	0.0
Arabidopsis	3701	genus	5541	260	0	2.9544e-309
Arabidopsis thaliana	3702	species	500226685	607	6	0
Brassica napus	3708	species	228769739	24	8	0.0
Brassica oleracea	3712	species	3992848	2	1	0.0
Rosales	3744	order	0	1	0	0.0
Fragaria	3746	genus	0	2	1	0.0
Fragaria x ananassa	3747	species	1152371	3	2	0.0
Malus domestica	3750	species	119839842	2	1	0.0
Prunus dulcis	3755	species	730901	18	0	0
Prunus persica	3760	species	75614337	3	0	0.0
Cajanus cajan	3821	species	74508467	21	1	0.0
Cicer arietinum	3827	species	67910136	11	2	0.0
Glycine	3846	genus	0	326	0	0.0
Glycine max	3847	species	269769302	2262	6	0
Lupinus angustifolius	3871	species	663787666	189	89	0.0
Medicago	3877	genus	0	1	0	0.0
Medicago sativa	3879	species	1321050	1	0	0.0
Medicago truncatula	3880	species	343743562	77	17	0.0
Phaseolus vulgaris	3885	species	64228231	13	0	0
Pisum sativum	3888	species	5297537	36	0	0
Vigna angularis	3914	species	74744820	1	0	0.0
Vigna radiata var. radiata	3916	varietas	93137019	1	0	0.0
Hevea brasiliensis	3981	species	132837900	6	0	0.0
Manihot esculenta	3983	species	96742739	11	4	0.0
Linaceae	4004	family	0	2	0	0.0
Linum usitatissimum	4006	species	6816543	1	1	0.0
Daucus carota	4039	species	1262938	2	0	0.0
Solanales	4069	order	0	2	0	0.0
Solanum lycopersicum	4081	species	2022455988	269	35	0
Nicotiana sylvestris	4096	species	104028662	269	0	0
Nicotiana tabacum	4097	species	185703706	5	1	0.0
Solanum	4107	genus	0	4	0	0.0
Solanum tuberosum	4113	species	92003250	5	0	0.0
Lamiales	4143	order	0	1	0	0.0
Erythranthe guttata	4155	species	61586880	22	5	0.0
Sesamum indicum	4182	species	81589325	215	7	0
Helianthus annuus	4232	species	192309133	12	2	0.0
Nelumbo nucifera	4432	species	90779374	13	6	0.0
Poaceae	4479	family	0	2	0	0.0
Hordeum	4512	genus	0	5	0	0.0
Oryza	4527	genus	643	3	0	0
Oryza rufipogon	4529	species	15073092	2	0	0.0
Oryza sativa	4530	species	36537026	24	10	0
Oryza brachyantha	4533	species	57097967	1	1	0.0
Oryza nivara	4536	species	4955353	1	0	0.0
Oryza punctata	4537	species	6436519	13	0	0
Oryza glaberrima	4538	species	10676035	1	0	0.0
Setaria italica	4555	species	82790460	1	1	0.0
Sorghum bicolor	4558	species	110854632	13	11	0.0
Triticum	4564	genus	540	501	0	0
Triticum aestivum	4565	species	861547435	13570	333	1.42156e-10
